No,ID,Bvang,Thickness,RtGap,probeindx
1,PL-007-CS-T25-FLAW-Olympus-HALF-SK90_Rev.1,36,25,3,30
2,PL-008-CS-T25-FLAW-Olympus-HALF-SK90_1,38,25,3,30
3,PL-010-CS-T25-FLAW-Olympus-HALF-SK90_1,38,25,3,30
4,PL-012-CS-T25-FLAW-Olympus-HALF-SK90_1,38,25,3,30
5,3572-13-001-90,30,18.38,3,24
6,3572-13-002-270,30,18.38,3,24
7,3572-13-002-90,30,18.38,3,24
,3572-13-002-270,30,18.38,3,24
,3572-14-001-90,30,30.23,4,32
,3572-14-001-270,30,30.23,4,32
,3572-14-002-90,30,30.23,4,36
,3572-14-002-270,30,30.23,4,36
,27622-001-90,30,15,4,14
,27622-001-270,30,15,4,14
,27622-002-90,30,15,4,14
,27622-002-270,30,15,4,14
,27901-001-90,30,25,4,20
,27901-001-270,30,25,4,20
,27901-002-90,30,25,4,26
,27901-002-270,30,25,4,26
,27905-001-90,30,15,4,13
,27905-001-270,30,15,4,13
,27905-002-90,30,15,4,13
,27905-002-270,30,15,4,13
,,,,,
,,,,,
,,,,,
,,,,,
